;datum;jahr;pfr;mitwirkung;art;begleitung;quelle;nr;komponist_vn;komponist;werk;stück;anmerkungen
;19.03.1995;1995;P. Feldmann;;GD;a capella;;;Josquin;Desprez ;;Tu Pauperum refugium;
;19.03.1995;1995;;;;;;;Willy;Burkhard;;Der Herr ist mein Hirte;
;19.03.1995;1995;;;;;;;Melchior;Franck;;Also hat Gott die Welt geliebt;
;14.04.1995;1995;P. Feldmann;;GD;E. Wildermuth;;;Cesar;Franck;Die sieben Worte Jesu am Kreuz;Aus 7 Worte Wort 1 und 4;
;14.04.1995;1995;;;;;;;Antonin;Dvorak;D-Dur-Messe; Kyrie aus der D_Dur Messe;
;02.07.1995;1995;P. Feldmann;;GD;E. Oess ;KGB;;Antonin;Dvorak;;öffne meine Augen, Kanon und Kehrreim;
;02.07.1995;1995;;;;;;;Willy;Burkhard;;Psalm 23 : Der Herr ist mein Hirte ;
;02.07.1995;1995;;;;;;;Heinrich;Schütz;;Psalm 100: Jauchzet dem Herren;
;12.07.1995;1995;;;NAUENGUT ;;;;Heinrich;Schütz;;Psalm 100, Jauchzet dem Herren;
;12.07.1995;1995;;;;;;;Heinrich;Schütz;;Psalm 23,Ich will den Herrn loben;
;12.07.1995;1995;;;;;;;Heinrich;Schütz;;il est bel t bon, ;
;12.07.1995;1995;;;;;;;Heinrich;Schütz;;Wir lieben sehr im Herzen,;
;12.07.1995;1995;;;;;;;Heinrich;Schütz;;Herr bleibe bei uns;
;01.10.1995;1995;R. Binkert;;Abend-GD;Solisten;;;Heinrich;Schütz;;Psalm 98;
;01.10.1995;1995;;;;;;;Heinrich;Schütz;;Psalm 100;
;01.10.1995;1995;;;;;;;Heinrich;Schütz;;Psalm 111;
;05.11.1995;1995;R. Binkert;;Reformationssonntag;;;;Heinrich;Schütz;;Psalm 111;
;05.11.1995;1995;;;;;;;Charles;Gounod;Messe solenelle;Kyrie;
;21.01.1996;1996;P. Feldmann;;GD;E. Oess;;;Charles;Gounod;Messe solenelle;Kyrie;
;21.01.1996;1996;;;;;;;Charles;Gounod;Messe solenelle;Agnus Dei;
;19.03.1996;1996;P. Feldmann;;GD;a capella;;;Josquin;Desprez ;;Tu Pauperum refugium;
;19.03.1996;1996;;;;;;;Willy;Burkhard;;Der Herr ist mein Hirte;
;04.04.1996;1996;;;Passionskonzert;;;;Charles;Gounod;Messe solenelle;Kyrie;
;04.04.1996;1996;;;;;;;Charles;Gounod;Messe solenelle;Agnus Dei;
;04.04.1996;1996;;;;;;;Cesar;Franck;Die sieben Worte Jesu am Kreuz;;
;05.04.1996;1996;;;Gottesdienst und Konzert;;;;Antonin;Dvorak;D-Dur Messe;Gloria;
;23.06.1996;1996;P. Feldmann;;GD;B. Koestler;;;Antonin;Dvorak;D-Dur Messe;Gloria;
;23.06.1996;1996;;;;;;;Johann S.;Bach;;Choral: Unter deinem Schirmen;
;23.06.1996;1996;;;;;;;Benjamin;Britten;;Deo gratias;
;23.06.1996;1996;;;;;;;;;;;
;02.10.1996;1996;;;Nauengut;;;;Johann S.;Bach;;Herr unser Herrscher, 1. Teil;
;02.10.1996;1996;;;;;;;Marc A.;Charpentier;;Memorare;
